EIC;00ZEE-00000000-C
Seerianumber;00000000
Periood;2025-08-01 kuni 2025-08-28
Koostamise aeg;2025-08-28
"";;Tarbimine 2-ajatsooni;Tarbimine 4-ajatsooni
Kokku;;637,042;637,042
Päeva tarbimine;;230,807;116,288
Öö tarbimine;;406,235;342,922
Tiputarbimine päeval (Tipp päev);;;114,519
Tiputarbimine puhkajal (Tipp puhkepäev);;;63,313
""
Algusaeg;Päev/öö/tipp päev/tipp puhkepäev;Tarbimine;Tunnikoguse tüüp
01.08.2025 00:00;Öö;0,173;Tegelik
01.08.2025 00:15;Öö;0,173;Tegelik
01.08.2025 00:30;Öö;0,173;Tegelik
01.08.2025 00:45;Öö;0,172;Tegelik
01.08.2025 01:00;Öö;0,212;Tegelik
01.08.2025 01:15;Öö;0,212;Tegelik
01.08.2025 01:30;Öö;0,212;Tegelik
01.08.2025 01:45;Öö;0,214;Tegelik
01.08.2025 02:00;Öö;0,154;Tegelik
01.08.2025 02:15;Öö;0,154;Tegelik
01.08.2025 02:30;Öö;0,154;Tegelik
01.08.2025 02:45;Öö;0,154;Tegelik
01.08.2025 03:00;Öö;0,184;Tegelik
01.08.2025 03:15;Öö;0,184;Tegelik
01.08.2025 03:30;Öö;0,184;Tegelik
01.08.2025 03:45;Öö;0,185;Tegelik
01.08.2025 04:00;Öö;0,142;Tegelik
01.08.2025 04:15;Öö;0,142;Tegelik
01.08.2025 04:30;Öö;0,142;Tegelik
01.08.2025 04:45;Öö;0,140;Tegelik
01.08.2025 05:00;Öö;0,169;Tegelik
01.08.2025 05:15;Öö;0,169;Tegelik
01.08.2025 05:30;Öö;0,169;Tegelik
01.08.2025 05:45;Öö;0,170;Tegelik
01.08.2025 06:00;Öö;0,454;Tegelik
01.08.2025 06:15;Öö;0,454;Tegelik
01.08.2025 06:30;Öö;0,454;Tegelik
01.08.2025 06:45;Öö;0,455;Tegelik
01.08.2025 07:00;Päev;0,334;Tegelik
01.08.2025 07:15;Päev;0,334;Tegelik
01.08.2025 07:30;Päev;0,334;Tegelik
01.08.2025 07:45;Päev;0,336;Tegelik
01.08.2025 08:00;Päev;0,220;Tegelik
01.08.2025 08:15;Päev;0,220;Tegelik
01.08.2025 08:30;Päev;0,220;Tegelik
01.08.2025 08:45;Päev;0,222;Tegelik
01.08.2025 09:00;Tipp päev;0,249;Tegelik
01.08.2025 09:15;Tipp päev;0,249;Tegelik
01.08.2025 09:30;Tipp päev;0,249;Tegelik
01.08.2025 09:45;Tipp päev;0,248;Tegelik
01.08.2025 10:00;Tipp päev;0,268;Tegelik
01.08.2025 10:15;Tipp päev;0,268;Tegelik
01.08.2025 10:30;Tipp päev;0,268;Tegelik
01.08.2025 10:45;Tipp päev;0,270;Tegelik
01.08.2025 11:00;Tipp päev;0,226;Tegelik
01.08.2025 11:15;Tipp päev;0,226;Tegelik
01.08.2025 11:30;Tipp päev;0,226;Tegelik
01.08.2025 11:45;Tipp päev;0,227;Tegelik
01.08.2025 12:00;Päev;0,167;Tegelik
01.08.2025 12:15;Päev;0,167;Tegelik
01.08.2025 12:30;Päev;0,167;Tegelik
01.08.2025 12:45;Päev;0,168;Tegelik
01.08.2025 13:00;Päev;0,132;Tegelik
01.08.2025 13:15;Päev;0,132;Tegelik
01.08.2025 13:30;Päev;0,132;Tegelik
